Date,Open,High,Low,Close,Adj Close,Volume,Tommorow_Close,Tommorow_Open,roc,rsi,ema,sma,wcp,squeeze,cci,rma,atr,std_dev,ema12,ema7,ema14,ema21,ema30,std_7,std_14,std_21,std_30,mean_7,mean_14,mean_21,mean_30,stdp7,stdp14,stdn14,stdp21,stdn21,stdp30,stdn30,min,max,ema26,macd,signal,histogram,upper_band,lower_band,Date,day_of_week,Benefit
2014-09-17,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,457.3340148925781,21056800,424.44000244140625,456.8599853515625,,,,,458.8160095214844,,,,,,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,,,,,,,,,,,,,,,,,,457.3340148925781,0.0,0.0,0.0,,,2014-09-17,2,0
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,424.44000244140625,34483200,394.7959899902344,424.1029968261719,,,,,429.71099853515625,,,,,,439.51642481486,438.53743634905135,439.7122225080218,440.10381789434524,440.33877512613935,,,,,,,,,,,,,,,,,,440.2544315044696,-0.7380066896096196,-0.4100037164497886,-0.32800297315983096,,,2014-09-18,3,0
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,408.90399169921875,394.6730041503906,,,,,400.48974609375,,,,,,422.0620287747636,419.62221630199537,422.5540691693085,423.54113760311446,424.13491858574525,,,,,,,,,,,,,,,,,,423.921654834249,-1.8596260594854357,-1.0041112340873486,-0.8555148253980871,,,2014-09-19,4,1
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,36863600,398.8210144042969,408.0849914550781,,,,,407.74674224853516,,,,,,417.9085506921527,415.7024084472656,418.3781254182613,419.34332652832774,419.9382431984301,,,,,,,,,,,,,,,,,,419.72337248726,-1.8148217951073207,-1.2787421829423526,-0.536079612164968,,,2014-09-20,5,0
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,402.1520080566406,399.1000061035156,,,,,400.812255859375,,,,,,412.72253530115137,410.1689425381747,413.2757050788384,414.42174994796153,415.1335623783991,,,,,,,,,,,,,,,,,,414.87602943397724,-2.1534941328258697,-1.5389611113941366,-0.614533021431733,,,2014-09-21,6,1
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,435.7909851074219,402.0920104980469,,,,,402.0875015258789,,,,,,410.1533410673633,407.730765849998,410.70187990572833,411.8606378630594,412.59392576668847,,,,,,,,,,,,,,,,,,412.32750943525065,-2.1741683678873187,-1.7111375947440537,-0.463030773143265,,,2014-09-22,0,1
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,423.2049865722656,435.7510070800781,,,,,427.33399200439453,,,,,,415.8742916356305,415.8264662147517,415.9886863232306,416.3292059846385,416.6060083026496,22.888466875863703,,,,417.4625723702567,,,,394.574105494393,,,,,,,,,416.50036695211276,-0.626075316482229,-1.4365372789435158,0.8104619624612868,,,2014-09-23,1,0
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700,411.5740051269531,423.156005859375,,,,,425.91349029541016,,,,,,417.4040946801271,417.8763123790164,417.4000883907113,417.50086410946375,417.6356859444202,15.384712293813346,,,,412.58699689592635,,,,397.202284602113,,,,,,,,,417.5806473021684,-0.1765526220412994,-1.1337392718731885,0.9571866498318891,,,2014-09-24,2,0
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,404.42498779296875,411.4289855957031,,,,,414.03399658203125,,,,,,416.2506954562828,416.17283013621767,416.3273710325952,416.56527957424487,416.7691510926464,14.474235431249134,,,,410.7489972795759,,,,396.27476184832676,,,,,,,,,416.69033106836406,-0.439635612081247,-0.9733978829952372,0.5337622709139902,,,2014-09-25,3,0
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,21460800,399.5199890136719,403.5559997558594,,,416.1441986083984,416.1441986083984,405.9492416381836,,,414.65035014609737,,,414.0097284500799,413.0606094659089,414.2417919798537,414.7691190470333,415.1328623557054,13.09752031930445,,,,412.1245683942522,,,,399.02704807494774,,,,,,,,,414.9978330711175,-0.9881046210376212,-0.976693046041703,-0.011411574995918161,,,2014-09-26,4,0
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,377.1809997558594,399.47100830078125,-12.641532008609948,,413.1216150457209,410.3627960205078,400.7587432861328,,,412.44536693793196,,,411.35845550551176,409.52617712200873,411.7658998179253,412.63475179878037,413.1951299998404,13.935527789994573,,,,410.78399658203125,,,,396.84846879203667,,,,,,,,,412.99035179347874,-1.6318962879669812,-1.1200477715855133,-0.5118485163814679,,,2014-09-27,5,0
