Date,Open,High,Low,Close,Volume,Tommorow_Close,Tommorow_Open,roc,rsi,ema,sma,wcp,squeeze,cci,rma,atr,Date,day_of_week,Benefit
2014-09-17 00:00:00+00:00,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,21056800,424.44000244140625,456.8599853515625,,,,,458.8160095214844,,,,,2014-09-17 00:00:00+00:00,2,-1
2014-09-18 00:00:00+00:00,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,34483200,394.7959899902344,424.1029968261719,,,,,429.71099853515625,,,,,2014-09-18 00:00:00+00:00,3,-1
2014-09-19 00:00:00+00:00,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,408.90399169921875,394.6730041503906,,,,,400.48974609375,,,,,2014-09-19 00:00:00+00:00,4,1
2014-09-20 00:00:00+00:00,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,36863600,398.8210144042969,408.0849914550781,,,,,407.74674224853516,,,,,2014-09-20 00:00:00+00:00,5,-1
2014-09-21 00:00:00+00:00,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,402.1520080566406,399.1000061035156,,,,,400.812255859375,,,,,2014-09-21 00:00:00+00:00,6,1
2014-09-22 00:00:00+00:00,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,435.7909851074219,402.0920104980469,,,,,402.0875015258789,,,,,2014-09-22 00:00:00+00:00,0,1
2014-09-23 00:00:00+00:00,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,423.2049865722656,435.7510070800781,,,,,427.33399200439453,,,,,2014-09-23 00:00:00+00:00,1,-1
2014-09-24 00:00:00+00:00,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,30627700,411.5740051269531,423.156005859375,,,,,425.91349029541016,,,,,2014-09-24 00:00:00+00:00,2,-1
2014-09-25 00:00:00+00:00,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,404.42498779296875,411.4289855957031,,,,,414.03399658203125,,,,,2014-09-25 00:00:00+00:00,3,-1
2014-09-26 00:00:00+00:00,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,21460800,399.5199890136719,403.5559997558594,,,416.1441986083984,416.1441986083984,405.9492416381836,,,414.65035014609737,,2014-09-26 00:00:00+00:00,4,-1
2014-09-27 00:00:00+00:00,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,377.1809997558594,399.47100830078125,-12.641532008609948,,413.1216150457209,410.3627960205078,400.7587432861328,,,412.44536693793196,,2014-09-27 00:00:00+00:00,5,-1
2014-09-28 00:00:00+00:00,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,23613300,375.4670104980469,376.9280090332031,-11.134436531361334,,406.5869577202915,405.63689575195315,382.42774963378906,,,407.53095518676616,,2014-09-28 00:00:00+00:00,6,-1
2014-09-29 00:00:00+00:00,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700,386.9440002441406,376.0880126953125,-4.895941190452724,,400.92878549806517,403.70399780273436,377.09625244140625,,,403.23176400158866,,2014-09-29 00:00:00+00:00,0,1
2014-09-30 00:00:00+00:00,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300,383.614990234375,387.427001953125,-5.370451719931225,,398.38609727007884,401.50799865722655,384.5769958496094,,-103.50654265397932,401.11984927761455,,2014-09-30 00:00:00+00:00,1,-1
2014-10-01 00:00:00+00:00,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,375.0719909667969,383.9880065917969,-3.8127439680264867,32.93373192387091,395.7004414454054,399.9873962402344,384.8472442626953,,-94.44993670840884,398.91550932490594,20.27444130370215,2014-10-01 00:00:00+00:00,2,-1
2014-10-02 00:00:00+00:00,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,359.5119934082031,375.1809997558594,-6.7337764196939425,30.45355435571493,391.9498140856583,397.27939453125,377.1467514038086,,-113.60921776881159,395.9888396987603,19.452241854343672,2014-10-02 00:00:00+00:00,3,-1
2014-10-03 00:00:00+00:00,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,30901200,328.8659973144531,359.8919982910156,-17.50357265431181,26.534065257701556,386.0520285079392,389.6514953613281,363.6445007324219,,-137.71788680005625,391.6110657546435,19.491712165947824,2014-10-03 00:00:00+00:00,4,-1
